"Region of Incident","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route"
"Europe",2016,"Nov",1,NA,NA,NA,1,NA,"Stabbed","Western Balkans"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Europe",2016,"Nov",1,NA,NA,NA,1,1,"Hit by train",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Dehydration",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Nov",1,NA,NA,NA,1,NA,"Drowning",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"South America",2016,"Nov",1,NA,NA,1,NA,NA,"Presumed hypothermia",""
"Horn of Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Nov",6,3,4,NA,NA,NA,"Drowning","Eastern Mediterranean"
"US-Mexico Border",2016,"Nov",5,NA,NA,NA,NA,NA,"Mixed","Central America to US"
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Nov",1,NA,NA,NA,NA,NA,"Fall from train","Central America to US"
"Mediterranean",2016,"Nov",NA,25,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Horn of Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Europe",2016,"Nov",1,NA,NA,1,NA,NA,"Hit by train",""
"Mediterranean",2016,"Nov",4,NA,15,NA,4,NA,"Drowning","Eastern Mediterranean"
"Mediterranean",2016,"Nov",7,96,27,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Nov",3,NA,NA,NA,3,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",4,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Southeast Asia",2016,"Nov",3,NA,NA,2,1,3,"Drowning",""
"Mediterranean",2016,"Nov",4,95,23,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Nov",NA,135,15,NA,135,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2016,"Nov",5,1,114,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Nov",NA,3,122,NA,3,1,"Presumed drowning","Central Mediterranean"
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Nov",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",4,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",4,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Excessive Physical Abuse","Central America to US"
"Central America",2016,"Nov",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"North Africa",2016,"Nov",10,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Nov",1,NA,NA,1,NA,NA,"Cervical cancer","Central America to US"
"Mediterranean",2016,"Nov",4,22,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Southeast Asia",2016,"Nov",NA,5,NA,1,NA,4,"Drowning",""
"North Africa",2016,"Nov",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Caribbean",2016,"Nov",NA,19,NA,NA,NA,NA,"Unknown","Caribbean to Central America"
"Mediterranean",2016,"Nov",1,NA,115,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Nov",10,12,NA,12,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Nov",1,NA,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2016,"Nov",1,NA,48,NA,1,NA,"Drowning","Eastern Mediterranean"
"US-Mexico Border",2016,"Nov",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Southeast Asia",2016,"Nov",54,6,39,NA,NA,1,"Drowning",""
"Mediterranean",2016,"Nov",NA,128,2,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2016,"Nov",12,99,29,NA,NA,3,"Drowning","Central Mediterranean"
"Horn of Africa",2016,"Nov",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"South America",2016,"Oct",1,NA,NA,1,NA,NA,"Presumed hypothermia",""
"Caribbean",2016,"Oct",1,5,7,NA,1,NA,"Dehydration",""
"North Africa",2016,"Oct",7,NA,NA,NA,NA,NA,"Murdered",""
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Unknown",""
"North Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Violence",""
"North Africa",2016,"Oct",5,NA,NA,NA,NA,NA,"Vehicle Accident",""
"Middle East",2016,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Oct",3,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Central America",2016,"Oct",1,NA,1,NA,1,NA,"Fall from train","Central America to US"
"Mediterranean",2016,"Oct",2,4,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Mediterranean",2016,"Oct",2,32,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (mummified remains)","Central America to US"
"Europe",2016,"Oct",1,NA,NA,NA,NA,NA,"Hit by vehicle","Calais to United Kingdom"
"Mediterranean",2016,"Oct",97,NA,29,3,92,2,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Oct",9,1,NA,1,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Oct",1,29,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Oct",NA,29,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Oct",6,4,NA,4,NA,2,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Oct",NA,10,140,NA,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Oct",29,NA,107,NA,NA,NA,"Asphyxiation","Central Mediterranean"
"Mediterranean",2016,"Oct",1,NA,NA,1,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Oct",2,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Central America",2016,"Oct",44,NA,NA,NA,NA,10,"Mixed","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Europe",2016,"Oct",1,NA,NA,NA,1,NA,"Hit by car","Italy to France"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2016,"Oct",1,NA,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Oct",NA,30,NA,2,NA,1,"Asphyxiation, Drowning","Central Mediterranean"
"North Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Central America",2016,"Oct",1,NA,NA,NA,1,NA,"Hit by vehicle","Central America to US"
"Mediterranean",2016,"Oct",1,NA,NA,1,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Oct",3,NA,NA,NA,NA,NA,"Asphyxiation, Drowning","Central Mediterranean"
"Mediterranean",2016,"Oct",13,NA,120,NA,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Oct",4,10,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"Horn of Africa",2016,"Oct",14,NA,300,NA,NA,NA,"Unknown","Horn Africa to Yemen"
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",30,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",12,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Oct",5,4,118,NA,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Central America",2016,"Oct",1,NA,1,NA,1,1,"Fall from train","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Oct",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Oct",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Oct",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Oct",1,NA,NA,NA,1,NA,"Stabbed",""
"Caribbean",2016,"Oct",NA,1,NA,NA,1,NA,"Presumed drowning","Caribbean to Central America"
"Europe",2016,"Oct",1,NA,NA,NA,1,NA,"Crushed in back of truck",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Oct",1,NA,2,NA,1,NA,"Hit by train","Calais to United Kingdom"
"Central America",2016,"Oct",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"Mediterranean",2016,"Oct",NA,17,113,NA,13,1,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Europe",2016,"Oct",1,NA,NA,NA,1,NA,"Presumed drowning","Western Balkans"
"Mediterranean",2016,"Oct",1,3,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"South America",2016,"Oct",1,NA,NA,1,NA,NA,"Unknown","Caribbean to Central America"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",30,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Oct",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Oct",1,NA,1,NA,1,NA,"Hit by vehicle","Calais to United Kingdom"
"Central America",2016,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Europe",2016,"Oct",1,NA,NA,1,NA,1,"Hit by vehicle","Italy to France"
"Mediterranean",2016,"Oct",2,NA,NA,1,1,1,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Oct",1,NA,NA,NA,1,1,"Drowning","Eastern Mediterranean"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"Oct",3,NA,NA,2,NA,1,"Drowning","Central Mediterranean"
"Horn of Africa",2016,"Oct",10,NA,NA,NA,NA,NA,"Unknown","Horn Africa to Yemen"
"Central America",2016,"Oct",NA,NA,NA,NA,NA,NA,"Dehydration, Asphyxiation","Central America to US"
"Central America",2016,"Oct",6,NA,60,NA,1,5,"Dehydration, Asphyxiation","Central America to US"
"Mediterranean",2016,"Oct",28,NA,NA,NA,NA,NA,"Asphyxiation","Central Mediterranean"
"Mediterranean",2016,"Oct",11,NA,NA,2,7,2,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Oct",10,NA,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Oct",30,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Oct",1,NA,NA,NA,1,NA,"Presumed drowning","Eastern Mediterranean"
"Horn of Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Oct",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Oct",1,NA,NA,NA,1,NA,"Dehydration","Central America to US"
"Sub-Saharan Africa",2016,"Oct",7,NA,37,NA,NA,NA,"Vehicle Accident",""
"South America",2016,"Sep",1,NA,NA,NA,1,NA,"Cardiac arrest","Darien Gap"
"US-Mexico Border",2016,"Sep",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Sep",5,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Unknown",""
"Mediterranean",2016,"Sep",7,20,3,NA,NA,NA,"Drowning","Eastern Mediterranean"
"South Asia",2016,"Sep",14,NA,11,NA,NA,NA,"Vehicle Accident",""
"Mediterranean",2016,"Sep",18,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Sep",NA,1,NA,NA,1,1,"Presumed drowning","Central America to US"
"Europe",2016,"Sep",1,NA,NA,NA,1,NA,"Hit by train","Calais to United Kingdom"
"Horn of Africa",2016,"Sep",1,NA,NA,NA,1,NA,"Suffocation","Horn Africa to Yemen"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown (decomposed remains)","Central America to US"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Central America",2016,"Sep",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"Middle East",2016,"Sep",1,NA,NA,NA,NA,NA,"Plane stowaway",""
"Caribbean",2016,"Sep",5,15,3,2,3,NA,"Drowning",""
"Central America",2016,"Sep",1,NA,NA,1,NA,NA,"Unknown","Central America to US"
"Central America",2016,"Sep",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines","Central America to US"
"Mediterranean",2016,"Sep",204,84,162,10,31,1,"Drowning","Central Mediterranean"
"North Africa",2016,"Sep",7,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"Sep",1,NA,14,NA,NA,NA,"Dehydration","Central Mediterranean"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Sep",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Sep",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Sep",1,NA,NA,NA,1,NA,"Stabbed","Western Balkans"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2016,"Sep",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Sep",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Sep",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Sep",25,NA,NA,NA,NA,NA,"Mixed","Central America to US"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Horn of Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"South America",2016,"Sep",8,NA,NA,NA,NA,NA,"Mixed",""
"Europe",2016,"Sep",1,NA,NA,NA,1,1,"Hit by vehicle","Calais to United Kingdom"
"US-Mexico Border",2016,"Sep",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Horn of Africa",2016,"Sep",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Sep",1,NA,750,NA,NA,NA,"Drowning","Central Mediterranean"
"Horn of Africa",2016,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Sep",5,NA,164,4,1,NA,"Unknown","Central Mediterranean"
